species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Dryopteris dilatata,DRYOPTERIDACEAE,Dryopteris,dilatata,Broad Buckler Fern,native,(Hoffm.) A.Gray,Vas_661,,"
European Temperate element.
This occurs in almost all habitats (e.g. BH1, 3) and throughout the British Isles.
Very common (429). Broad Buckler-fern occurs throughout northern Lancashire. On grit rocks at high levels in Leck and in the Bowland Fells there is a small form that is often without sporangia or if sporangia are produced, usually late in the season, they appear to be sterile. This is probably var. nana Newman mentioned by Wheldon and Wilson (1907) but not now recognised. There is no evidence for change locally or nationally.
 
[Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy  Northern Buckler-fern

Circumpolar Boreal-montane element.
It is possible that this occurs in the Bowland Fells or in Leck but so far none of the material gathered has proved to be this. One or two sterile plants from Thorn Crag, Over Wyresdale might be D. expansa but for certain identification fertile material is required. If it occurs it will be at the limits of its climatic range.]

",Circumboreal–Atlantic
Dryopteris filix-mas,DRYOPTERIDACEAE,Dryopteris,filix-mas,Male Fern,native,(L.) Schott,Vas_665,,"
Circumpolar Temperate element.
This is a common fern of woodland and hedgerows (BH1, 3) in the British Isles.
Very common (408). The map shows the distribution of Dryopteris filix-mas  sensu lato It is a very common fern found in a wide variety of habitats in northern Lancashire and possibly only absent from salt marshes, arable farmland and wet peat covered mires. However it hybridises with D. affinis and as this is at least partially fertile it back crosses with either parent sometimes making identification of individual plants difficult. Its distribution is stable both locally and nationally.
 
",Circumboreal (Boreo?temperate)
Dryopteris filix-mas var. cristata,DRYOPTERIDACEAE,Dryopteris,filix-mas var. cristata,Crested Male Fern,neophyte,,Vas_665,,Text,Circumboreal (Boreo?temperate)
Dryopteris lacunosa,DRYOPTERIDACEAE,Dryopteris,lacunosa,Alpine Male Fern,native,"S.Jess., Zenner, Chr.Stark & Bujnoch",IPNI_77110331-1,,Text,Atlantic–Temperate
Dryopteris submontana,DRYOPTERIDACEAE,Dryopteris,submontana,Rigid Buckler Fern,native,(Fraser-Jenk. & Jermy) Fraser-Jenk.,Vas_667,,"
Mediterranean-montane element.
Typically this is found on limestone rocks and pavements (BH16) in northern England and occasionally elsewhere.
Rare (10). In northern Lancashire it is characteristic of limestone rocks and pavement in the north. However it has been found on mortared walls near Garstang in 1954 (V.G. & A.H.), Lancaster in 2000 (BSBI Recorders’ Conference) and unusually on grit rocks on Lythe Fell (C.C. & J.O’R.) in 2004. There is no evidence for a change in its distribution or frequency in northern Lancashire and generally it is stable nationally.

",Eurosiberian–submontane
Polystichum aculeatum,DRYOPTERIDACEAE,Polystichum,aculeatum,Hard Shield Fern,native,(L.) Roth,Vas_1546,,"
Eurasian Temperate element.
This fern is found on basic rocks, mortared walls, and woodland banks (BH16, 3, 1) throughout the British Isles.
Frequent (75). In northern Lancashire it is found in the east and north of the area. There is no evidence for any change in its distribution or frequency in northern Lancashire. A similar situation occurs nationally although some decrease is noted in south-eastern England (New Atlas, Local Change).

",Eurosiberian–Atlantic
Polystichum setiferum,DRYOPTERIDACEAE,Polystichum,setiferum,Soft Shield Fern,native,(Forssk.) T.Moore ex Woyn.,Vas_1548,,"
Submediterranean-Subatlantic element.
This fern occurs in damp ancient woodland (BH1) on clay soils but also in hedgerows and roadsides (BH3) in Ireland and western Britain.
Occasional (42). P. setiferum is found scattered in northern Lancashire but it is rare in the Fylde and Lancashire VC 64. It is possible that this fern was overlooked by Wheldon and Wilson (1907), who cited only two records, one of which had been lost by 1900. However some of the recent records are from new hedgerow sites suggesting that the observed increase in this species’ abundance is real. However whilst the ‘New Atlas’ observes an increased abundance nationally between 1962 and 2000 it is suggested that this is due to better recording and that populations are stable. On the other hand ‘Local Change’ notes significantly increased abundance since 1987 (like other woodland ferns) and suggests that it might have benefited from milder winters or increased shading in some woodlands in recent decades.

[Polystichum setiferum x P. aculeatum
P. x bicknellii (H. Christ) Hahne

This is an overlooked but common, sterile hybrid often found in disturbed habitats. The parents may sometimes be recorded in error for this hybrid and it is likely that it is found in the north of the region where both parents grow.]

",Atlantic–Sub?Mediterranean
Polystichum setiferum x aculeatum = P. x bicknellii,DRYOPTERIDACEAE,Polystichum,setiferum x aculeatum = P. x bicknellii,Hybrid Shield Fern,native,(H.Christ) Hahne,Vas_2906,,Text,Atlantic–Eurosiberian hybrid
Blechnum spicant,BLECHNACEAE,Blechnum,spicant,Hard Fern,native,(L.) Roth,Vas_244,,"
European Temperate element.
Hard-fern is a calcifuge growing in woodland, hedgerows and in moorland areas (BH1, 3, 16) throughout the British Isles but it is rare in south-eastern England.
Frequent (193). In northern Lancashire this is found in acid woodlands, hedgerows, by streams especially in the hills and on rocks. There is no evidence for change in northern Lancashire and losses nationally were before 1950 (New Atlas).

",Atlantic–Boreo?temperate
Azolla filiculoides,SALVINIACEAE,Azolla,filiculoides,Water Fern,neophyte,Lam.,Vas_223,,"
Neophyte. This is a native of North and South America but it is widely naturalized in temperate and southern Europe and elsewhere.
Occasional (20). It was first recorded in Britain in 1883 but not reported from northern Lancashire until 1977 when it was found in a dune slack at Lytham St Anne’s Local Nature Reserve (M.J.). This was removed and it was not recorded again until it was seen in the Lancaster Canal at Tewitfield (G.H.) in 1985. Since then it has been recorded in several places in the Lancaster Canal and occasionally elsewhere in ponds. In some years it becomes abundant and can completely cover the surface of some ponds. Since 1962 it has spread considerably in the southern half of the British Isles (New Atlas).

",Alien (American)
Abies procera,PINACEAE,Abies,procera,Noble Fir,neophyte,Rehder,Vas_2397,,Text,Alien (North American)
Cedrus atlantica,PINACEAE,Cedrus,atlantica,Atlas Cedar,neophyte,(Endl.) Carrière,Vas_2978,,Text,Alien (Mediterranean)
Larix decidua,PINACEAE,Larix,decidua,European Larch,neophyte,Mill.,Vas_1105,,"
Neophyte. This is a native of the mountains of central Europe and has been planted widely for amenity and in plantations for forestry. It had been introduced into Britain by 1629 but was not reported from the wild until 1886.
Frequent (177). In northern Lancashire it is also found in plantations and sometimes as single trees in hill pastures in the Bowland fells. Wheldon and Wilson (1907) reported it as frequently planted. Larch regenerates in suitable conditions.

",Eurosiberian–montane
Larix decidua x kaempferi = L. x marschlinsii,PINACEAE,Larix,decidua x kaempferi = L. x marschlinsii,Hybrid Larch,neophyte,Coaz,Vas_2303,,Text,Alien hybrid (European x Asian)
Larix kaempferi,PINACEAE,Larix,kaempferi,Japanese Larch,neophyte,(Lamb.) Carrière,Vas_2302,,"
Neophyte. This was introduced into Britain in 1861 and reported from the wild by 1957. It is mostly found in forestry plantations.
Occasional (18). In northern Lancashire it is found scattered in plantations. It was first recorded from Leagram, near Chipping in about 1960 (MS at SYT). Both this and L. x marschlinsii are probably under recorded and confused with each other and with L. decidua.

",Alien (Asian)
Picea abies,PINACEAE,Picea,abies,Norway Spruce,neophyte,(L.) H.Karst.,Vas_1470,,"
Neophyte. A native of Europe and western Asia found planted widely throughout Britain.  It is not known when it was first introduced into Britain but it was not reported from the wild until 1927.
Occasional (51). In northern Lancashire it is found in plantations, woodlands and gardens and often regenerates. It was first recorded in 1964.

",Boreal–Eurosiberian
Picea orientalis,PINACEAE,Picea,orientalis,Oriental Spruce,alien,(L.) Link,Vas_2976,,"
Neophyte. Oriental Spruce is a native species of Turkey and the Caucasus. It was introduced into Britain in 1839 and is widely grown in gardens and parks.
Very rare (1). In northern Lancashire Picea orientalis was recorded from estate parkland at Silverdale (SD47S) in 2000 (C.B.W.).

",Alien (Asian)
Picea sitchensis,PINACEAE,Picea,sitchensis,Sitka Spruce,neophyte,(Bong.) Carrière,Vas_2401,,"
Neophyte. A native of western North America widely planted for timber production. Introduced into Britain in 1832 but not reported from the wild until 1957.
Occasional (42). In northern Lancashire it forms a major constituent of plantations and often regenerates. It was first reported from the Brock valley in 1964.

",Alien (North American)
Picea smithiana,PINACEAE,Picea,smithiana,Morinda Spruce,alien,(Wall.) Boiss.,Vas_3651,,"
Neophyte. A native of the Himalayas. Introduced into Britain in 1818 (Mitchell, 1974) and occasionally planted in gardens and parkland.
Very rare (1). In northern Lancashire it was found planted at Silverdale (SD47S) by Livermore and Livermore (1987).

",Alien (Asian)
Pinus contorta subsp. contorta,PINACEAE,Pinus,contorta subsp. contorta,Lodgepole Pine,neophyte,Douglas ex Loudon,Vas_2402.1,,Text,Alien (North American)
Pinus nigra,PINACEAE,Pinus,nigra,Black Pine,neophyte,J.F.Arnold,Vas_1482,,Text,Mediterranean–Eurasian
Pinus pinaster,PINACEAE,Pinus,pinaster,Maritime Pine,neophyte,Aiton,Vas_1483,,"
Neophyte. This is a native of the Mediterranean and south-western Europe introduced into Britain before 1596 and subsequently planted in coastal areas, especially in southern and western England and Wales.
Very rare (3). In northern Lancashire it was recorded by from Silverdale (SD47S) in 1978 (J.M.N.) and from Fleetwood (SD34D) and Thistleton (SD43D), both in 1998 (E.F.G.).

",Mediterranean–Atlantic
Pinus strobus,PINACEAE,Pinus,strobus,Weymouth Pine,neophyte,L.,Vas_2416,,"
Neophyte. A native of central and eastern North America first introduced into Britain for amenity purposes in 1605.
Very rare (1). Only reported from Silverdale (SD47S) by Livermore and Livermore (1987).

",Alien (North American)
Pinus sylvestris,PINACEAE,Pinus,sylvestris,Scots Pine,neophyte,L.,Vas_1484,,"
Boreal-montane element
It is native in parts of Scotland where it is characteristic of the Caledonian Pinewoods (BH2) but it is probably an archeophyte in northern Lancashire where it has been planted for amenity and timber.
Common (247). It is found throughout the area, often as single trees or in small groups and in plantations.

Pinus nigra J.F. Arnold
",Circumboreal (Boreo?temperate)
Pseudotsuga menziesii,PINACEAE,Pseudotsuga,menziesii,Douglas Fir,neophyte,(Mirb.) Franco,Vas_1618,,"
Neophyte. A native of western North America introduced into Britain for amenity purposes in 1826.
Very rare (3). Found planted at Aughton (SD56N) in 1985 (J.M.N.), Tatham (SD66D) in 1987 and Over Wyresdale (SD55N; Livermore and Livermore, 1987). It is regenerating from seed at some sites.

",Alien (North American)
Tsuga canadensis,PINACEAE,Tsuga,canadensis,Eastern Hemlock,neophyte,(L.) Carrière,Vas_2977,,Text,Alien (North American)
Tsuga heterophylla,PINACEAE,Tsuga,heterophylla,Western Hemlock,neophyte,(Raf.) Sarg.,Vas_2404,,"
Neophyte. A native of western North America planted largely for amenity in a few scattered localities. First introduced into Britain in 1852 but not recorded from the wild until 1959.
Rare (7). In northern Lancashire it is found scattered in parkland and woodland. It was first recorded by Livermore and Livermore (1987).

",Alien (North American)
